# Time-averaged data for fix Ave
# TimeStep v_HAg v_HTe
0 0.0182429 -4.58514
10 0.0195967 -4.58147
20 0.0203492 -4.58379
30 0.0204677 -4.59106
40 0.0201555 -4.5995
50 0.0197143 -4.60487
60 0.019392 -4.60526
70 0.0193525 -4.60081
80 0.0196904 -4.59309
90 0.0203056 -4.58572
100 0.0208718 -4.58181
110 0.0210396 -4.58335
120 0.0207228 -4.58896
130 0.0200267 -4.5955
140 0.0191137 -4.59962
150 0.0181022 -4.59987
160 0.0170122 -4.59729
170 0.0159042 -4.59423
180 0.0149805 -4.59245
190 0.0144967 -4.59232
200 0.0145702 -4.59222
210 0.0151323 -4.5905
220 0.016001 -4.58645
230 0.0169878 -4.58088
240 0.0178796 -4.57546
250 0.0185165 -4.57195
260 0.0189172 -4.5714
270 0.0191654 -4.57299
280 0.0192342 -4.57587
290 0.0188578 -4.57924
300 0.0177816 -4.58268
310 0.0161972 -4.58584
320 0.0147164 -4.58819
330 0.0137348 -4.59024
340 0.0132485 -4.59247
350 0.0130675 -4.59482
360 0.0130488 -4.5965
370 0.013244 -4.59706
380 0.0137599 -4.59656
390 0.0145421 -4.59534
400 0.0154136 -4.59436
410 0.016257 -4.59425
420 0.0170373 -4.59418
430 0.0176713 -4.59343
440 0.0180011 -4.5917
450 0.0179732 -4.58911
460 0.0177049 -4.58544
470 0.0173579 -4.5808
480 0.0169575 -4.57602
490 0.0164084 -4.57294
500 0.01566 -4.57289
510 0.0148542 -4.57619
520 0.0142149 -4.58143
530 0.0138818 -4.58589
540 0.0139205 -4.58753
550 0.0143806 -4.58587
560 0.0152682 -4.58234
570 0.016452 -4.57957
580 0.0175955 -4.58005
590 0.0182384 -4.58505
600 0.0181135 -4.59275
610 0.0173842 -4.60007
620 0.0164971 -4.60424
630 0.0157968 -4.60497
640 0.0153979 -4.60339
650 0.0153228 -4.60109
660 0.0155315 -4.59905
670 0.0158769 -4.59728
680 0.0161645 -4.59576
690 0.0163192 -4.59446
700 0.0164368 -4.59373
710 0.0167137 -4.59411
720 0.0172983 -4.59591
730 0.0181277 -4.59935
740 0.0189423 -4.60411
750 0.0194401 -4.60885
760 0.0195132 -4.6112
770 0.0192617 -4.60981
780 0.0187843 -4.605
790 0.0180672 -4.59958
800 0.0171216 -4.59675
810 0.0160946 -4.59845
820 0.0151954 -4.60349
830 0.0146347 -4.60882
840 0.0145243 -4.61198
850 0.0147397 -4.61105
860 0.0149065 -4.60687
870 0.0146783 -4.60201
880 0.0140309 -4.59942
890 0.0132517 -4.60043
900 0.0127176 -4.60411
910 0.0127291 -4.60789
920 0.0134007 -4.60918
930 0.014572 -4.60698
940 0.015854 -4.60262
950 0.0167584 -4.59808
960 0.0169881 -4.59473
970 0.0166379 -4.59282
980 0.0160521 -4.59144
990 0.0154486 -4.59005
1000 0.0148368 -4.58861
1010 0.0142331 -4.58685
1020 0.0138021 -4.58488
1030 0.0136905 -4.58228
1040 0.0138241 -4.57995
1050 0.0139226 -4.5782
1060 0.0137525 -4.57704
1070 0.0133242 -4.5752
1080 0.0128951 -4.57224
1090 0.012777 -4.56854
1100 0.0131215 -4.56595
1110 0.0138629 -4.56642
1120 0.0148086 -4.5717
1130 0.0158379 -4.58038
1140 0.0169983 -4.58954
1150 0.0183812 -4.59575
1160 0.0198911 -4.5972
1170 0.0212334 -4.59438
1180 0.0219914 -4.58939
1190 0.0218167 -4.58436
1200 0.0206781 -4.58114
1210 0.0189277 -4.58099
1220 0.0171071 -4.58449
1230 0.0156615 -4.59122
1240 0.0147913 -4.59883
1250 0.0145277 -4.60468
1260 0.0147554 -4.60667
1270 0.0152144 -4.60481
1280 0.0156325 -4.60093
1290 0.0158471 -4.59738
1300 0.015807 -4.59514
1310 0.0155504 -4.595
1320 0.0152319 -4.59681
1330 0.0150973 -4.59951
1340 0.0154151 -4.60229
1350 0.0163106 -4.60505
1360 0.0176264 -4.6068
1370 0.0190332 -4.60726
1380 0.0202908 -4.60567
1390 0.0213137 -4.60237
1400 0.0220256 -4.59799
1410 0.0222515 -4.59392
1420 0.0218578 -4.59136
1430 0.0208397 -4.59078
1440 0.0193348 -4.59144
1450 0.0175748 -4.59227
1460 0.0158434 -4.59212
1470 0.0143502 -4.59137
1480 0.0131424 -4.59034
1490 0.0121098 -4.58923
1500 0.0111153 -4.58752
1510 0.0101241 -4.58434
1520 0.009307 -4.57877
1530 0.00889521 -4.57175
1540 0.00899831 -4.5658
1550 0.00946344 -4.56359
1560 0.00994203 -4.56632
1570 0.0101267 -4.57262
1580 0.0100606 -4.57879
1590 0.0100622 -4.58173
1600 0.0103165 -4.58027
1610 0.0107169 -4.57556
1620 0.011099 -4.57054
1630 0.0114562 -4.56722
1640 0.0118524 -4.56717
1650 0.0122988 -4.57032
1660 0.0128105 -4.57534
1670 0.0134825 -4.5798
1680 0.0144629 -4.5813
1690 0.0157619 -4.57912
1700 0.0171159 -4.57408
1710 0.0180024 -4.5697
1720 0.0179718 -4.56975
1730 0.0170765 -4.57503
1740 0.0160056 -4.58308
1750 0.0155579 -4.58964
1760 0.0161776 -4.59153
1770 0.0177595 -4.58895
1780 0.0197514 -4.5849
1790 0.0214409 -4.58277
1800 0.0222674 -4.58439
1810 0.0220082 -4.58944
1820 0.0208238 -4.59525
1830 0.0190672 -4.59909
1840 0.0170699 -4.60017
1850 0.0151033 -4.5993
1860 0.0134617 -4.59798
1870 0.0124118 -4.59685
1880 0.0120403 -4.59628
1890 0.0122587 -4.59578
1900 0.0129508 -4.59585
1910 0.0139812 -4.59656
1920 0.0151511 -4.59834
1930 0.0161684 -4.60082
1940 0.016796 -4.60377
1950 0.0170195 -4.606
1960 0.0170176 -4.60723
1970 0.0169807 -4.60691
1980 0.0169647 -4.60534
1990 0.0169466 -4.6033
2000 0.0168959 -4.60149
2010 0.0168214 -4.60088
2020 0.016778 -4.60105
2030 0.016797 -4.60096
2040 0.0168261 -4.6002
2050 0.0167727 -4.5992
2060 0.0166455 -4.59916
2070 0.0165069 -4.60085
2080 0.0164017 -4.60384
2090 0.0163776 -4.60624
2100 0.0164668 -4.60604
2110 0.0166505 -4.60261
2120 0.0168881 -4.5971
2130 0.0172076 -4.59216
2140 0.0176186 -4.5894
2150 0.0180642 -4.58959
2160 0.0184444 -4.59181
2170 0.0186706 -4.5936
2180 0.0187195 -4.59387
2190 0.0186118 -4.59235
2200 0.018375 -4.58947
2210 0.018026 -4.58616
2220 0.0176007 -4.58341
2230 0.01712 -4.582
2240 0.0165132 -4.58242
2250 0.0156376 -4.58428
2260 0.0145257 -4.58607
2270 0.0135018 -4.58649
2280 0.0129406 -4.58469
2290 0.0129926 -4.58112
2300 0.0135481 -4.57777
2310 0.0143521 -4.57635
2320 0.0151581 -4.57822
2330 0.0157817 -4.58292
2340 0.016159 -4.58861
2350 0.0163049 -4.59336
2360 0.016257 -4.59634
2370 0.0160798 -4.59774
2380 0.0159223 -4.5985
2390 0.0160205 -4.59942
2400 0.0165755 -4.60011
2410 0.017595 -4.60035
2420 0.018809 -4.59997
2430 0.0198075 -4.59837
2440 0.0203264 -4.59619
2450 0.020397 -4.59327
2460 0.0202 -4.59034
2470 0.019768 -4.58822
2480 0.0189876 -4.58832
2490 0.0178577 -4.5914
2500 0.016673 -4.59684
2510 0.0158287 -4.60237
2520 0.0155512 -4.60593
2530 0.0157746 -4.60621
2540 0.01622 -4.60354
2550 0.0165731 -4.59951
2560 0.0166986 -4.59572
2570 0.0167277 -4.59217
2580 0.0168562 -4.58879
2590 0.0171015 -4.58612
2600 0.017286 -4.58525
2610 0.0173293 -4.58644
2620 0.0173891 -4.58873
2630 0.0176189 -4.5903
2640 0.018023 -4.59072
2650 0.0186325 -4.59051
2660 0.019569 -4.58989
2670 0.0207556 -4.58875
2680 0.0218232 -4.58706
2690 0.0223601 -4.58546
2700 0.0222027 -4.58481
2710 0.0213621 -4.5854
2720 0.0199533 -4.58674
2730 0.0182933 -4.58807
2740 0.0168089 -4.58852
2750 0.0157821 -4.58843
2760 0.0152172 -4.58825
2770 0.0149805 -4.58819
2780 0.0150318 -4.58807
2790 0.015464 -4.58772
2800 0.0163589 -4.5869
2810 0.0176655 -4.58551
2820 0.0191729 -4.58439
2830 0.0205458 -4.58461
2840 0.021429 -4.58699
2850 0.0215972 -4.5916
2860 0.0210551 -4.59716
2870 0.0200191 -4.60141
2880 0.0188167 -4.6023
2890 0.0177206 -4.59933
2900 0.016863 -4.59444
2910 0.0162629 -4.59005
2920 0.0159118 -4.58784
2930 0.0158522 -4.58789
2940 0.0160868 -4.58883
2950 0.0165028 -4.5899
2960 0.0169001 -4.59071
2970 0.0172055 -4.59224
2980 0.0175062 -4.5948
2990 0.0178248 -4.59841
3000 0.0180249 -4.60173
3010 0.0179079 -4.6024
3020 0.0174145 -4.59937
3030 0.0166849 -4.59348
3040 0.0159626 -4.58729
3050 0.0154596 -4.58382
3060 0.015323 -4.58483
3070 0.0156627 -4.58979
3080 0.0165991 -4.59629
3090 0.0181652 -4.60079
3100 0.0200831 -4.60145
3110 0.0218451 -4.59879
3120 0.022996 -4.59488
3130 0.0233214 -4.59205
3140 0.0228717 -4.59147
3150 0.0218795 -4.59338
3160 0.020658 -4.5968
3170 0.0194717 -4.59984
3180 0.0185594 -4.60034
3190 0.0181345 -4.59731
3200 0.0182691 -4.59161
3210 0.0187774 -4.58605
3220 0.0194193 -4.58243
