# Time-averaged data for fix 2
# TimeStep c_flux[1] c_flux[2] c_flux[3] c_flux[4] c_flux[5] c_flux[6] c_Ag_mom[1] c_Ag_mom[2] c_Ag_mom[3]
0 16.1281 116.008 71.4192 9.11269 88.7848 97.0612 136.99 2824.46 3119.57
10 11.2168 108.25 90.7733 2.65661 72.5816 107.669 -19.3469 2326.72 3509.35
20 3.42789 102.4 111.142 -0.10915 55.3544 116.074 -63.8393 1803.24 3835.37
30 -5.8406 96.0106 128.193 2.0784 40.0712 122.09 42.2399 1330 4080.41
40 -11.2392 85.7306 138.931 8.53599 29.1566 126.365 282.601 968.932 4252.04
50 -10.0365 72.0517 143.401 17.1539 23.0641 129.906 592.292 742.852 4384.4
60 -4.48447 61.2288 144.082 25.7627 20.29 133.556 876.491 625.433 4513.36
70 -1.56366 58.2197 143.502 32.4915 19.4015 137.61 1056.48 582.901 4649.14
80 -2.94625 61.9034 143.73 36.4961 19.7384 141.736 1107.18 598.299 4773.28
90 -4.30455 68.3444 145.498 37.466 21.0655 145.343 1053.55 653.709 4859.38
100 -1.87007 73.7585 149.617 36.0447 22.2866 148.201 955.268 713.171 4895
110 3.82888 74.2586 157.288 34.5211 21.8226 150.08 892.351 723.254 4888.29
120 10.1514 66.1734 169.117 35.0156 17.8467 150.632 915.769 622.33 4852.31
130 14.5951 48.8722 181.41 37.0406 9.26427 148.806 987.851 367.164 4770.02
140 13.5926 23.0851 186.27 37.1419 -4.2159 142.709 989.874 -49.7268 4575.88
150 5.38787 -10.601 176.84 31.2337 -22.801 130.455 802.712 -629.163 4196.82
160 -8.42338 -49.846 153.013 17.035 -47.085 111.549 376.148 -1374.8 3609.01
170 -27.7708 -91.0377 121.342 -5.21808 -76.3482 86.9488 -265.895 -2254.17 2849.86
180 -53.9949 -132.082 89.5684 -32.98 -107.528 58.7486 -1063.06 -3186.76 1993.71
190 -91.6194 -173.522 61.1889 -63.5183 -136.624 29.7758 -1955.77 -4080.22 1119.05
200 -139.518 -214.487 33.4112 -94.0233 -160.827 2.33453 -2883.46 -4869.82 278.892
210 -191.649 -250.558 0.49144 -121.933 -179.757 -22.6582 -3773.33 -5536.92 -517.764
220 -236.748 -275.02 -40.734 -145.483 -195.494 -45.8219 -4557.32 -6110.55 -1295.59
230 -265.107 -284.275 -85.9658 -163.67 -211.396 -68.2092 -5181.57 -6651.83 -2068.84
240 -276.782 -282.728 -124.629 -175.167 -229.521 -89.5588 -5587.93 -7211.38 -2795.98
250 -279.735 -283.607 -147.896 -178.359 -248.769 -107.501 -5723.97 -7791.81 -3381.64
260 -279.422 -299.085 -155.306 -173.742 -266.284 -118.792 -5595.88 -8359.08 -3730.48
270 -271.293 -329.491 -151.632 -164.024 -280.054 -121.451 -5274.56 -8871.87 -3801.58
280 -249.628 -361.43 -142.74 -151.652 -289.449 -115.867 -4833.33 -9281.86 -3615.08
290 -215.035 -378.005 -131.716 -136.477 -294.244 -103.683 -4295.84 -9525.23 -3228.03
300 -177.352 -372.021 -120.211 -116.993 -293.447 -87.7729 -3651.96 -9532.81 -2722.32
310 -147.282 -348.992 -106.075 -93.3662 -285 -71.7686 -2923.03 -9246.56 -2202.13
320 -128.19 -319.927 -86.2699 -68.1833 -266.732 -59.4033 -2173.99 -8632.63 -1771.69
330 -115.936 -291.122 -62.3892 -44.1406 -237.855 -52.9396 -1456.23 -7699.69 -1500.29
340 -103.469 -260.517 -39.9698 -21.7159 -200.576 -52.3921 -772.332 -6514.3 -1406.65
350 -87.748 -221.637 -24.075 0.00283476 -159.042 -56.0038 -97.1177 -5189.39 -1467.57
360 -68.1608 -171.182 -17.4369 22.0757 -117.424 -61.7091 587.234 -3844.37 -1633.64
370 -43.511 -111.976 -19.2505 44.5221 -78.4763 -67.7359 1271.52 -2561.8 -1847.54
380 -13.8055 -50.0176 -25.0003 65.8145 -42.6208 -73.0651 1909.42 -1370.18 -2055.59
390 19.2184 8.5762 -27.7671 83.6462 -9.08312 -76.6159 2428.14 -265.33 -2198.59
400 50.0263 60.772 -23.8427 96.0661 22.7232 -76.1781 2765.58 760.621 -2202.98
410 73.9722 106.83 -16.4178 102.042 52.9917 -69.374 2897.29 1715.66 -2012.14
420 90.7737 147.404 -11.7881 101.136 81.5157 -56.2817 2827.19 2605.74 -1646.81
430 100.684 182.396 -12.6936 93.1287 107.61 -40.9077 2571.25 3422.19 -1226.75
440 103.725 212.134 -16.1662 79.1691 130.739 -28.7328 2159.41 4150.61 -897.131
450 98.7397 236.872 -18.5908 61.3803 151.133 -22.3367 1638.52 4800.13 -717.838
460 86.2807 257.011 -18.4802 41.6491 170.152 -20.1031 1059.73 5400.14 -640.593
470 71.1935 272.718 -15.9667 21.1812 188.487 -18.9831 464.19 5959.59 -581.426
480 56.5485 284.211 -9.58051 0.784251 205.114 -16.6245 -108.489 6443.78 -483.869
490 44.0575 292.228 1.74259 -17.8574 217.13 -11.8334 -601.562 6781.57 -324.535
500 33.4638 296.595 15.6088 -32.58 221.045 -4.10353 -958.229 6892.47 -96.5501
510 23.2547 293.866 29.2426 -42.7634 214.882 7.16782 -1175.52 6729.63 206.441
520 12.5256 280.019 40.3947 -49.7815 199.148 22.1868 -1319.48 6306.31 601.193
530 -0.457927 255.712 49.5566 -55.5572 176.633 40.6518 -1464.19 5683.88 1100.68
540 -16.2758 225.799 58.908 -59.9826 149.951 60.8213 -1616.58 4931.23 1686.85
550 -32.7494 194.675 72.4961 -60.6988 120.569 80.3375 -1697.98 4080.5 2304.84
560 -44.2845 161.077 91.4628 -54.6753 88.4379 96.8572 -1588.75 3113.21 2886.05
570 -45.2012 120.199 111.144 -39.793 52.9451 109.634 -1194.99 1996.56 3375.09
580 -33.6228 69.3485 124.06 -15.7677 14.1403 118.92 -495.245 735.95 3734.41
590 -13.6545 11.6 127.66 15.2119 -26.4668 124.34 446.926 -608.121 3931.18
600 11.2845 -46.5122 127.372 49.0906 -67.0329 124.552 1498.7 -1954.76 3936.72
610 37.1226 -99.8453 128.009 81.0716 -106.408 119.193 2503.8 -3247.86 3760.27
620 61.5173 -145.735 128.65 107.824 -143.737 110.815 3344.08 -4461.2 3478.11
630 81.8787 -185.018 126.487 127.908 -178.152 103.264 3976.04 -5576.74 3204.28
640 100.505 -220.933 123.114 142.029 -208.275 99.1614 4423.49 -6570.33 3030.76
650 120.878 -255.709 125.022 151.777 -232.605 98.9486 4739.45 -7408 2995.31
660 144.049 -286.897 139.113 158.93 -249.949 101.9 4973.06 -8042.19 3090.14
670 166.953 -307.784 166.743 165.146 -259.015 107.069 5170.44 -8404.08 3283.36
680 188.796 -312.775 201.494 172.721 -258.265 113.704 5393.44 -8417.11 3532.39
690 211.213 -301.782 233.96 183.974 -246.649 120.913 5718.2 -8042.94 3787.31
700 236.194 -279.72 257.874 200.186 -224.46 126.939 6197.35 -7311.2 3992.62
710 265.466 -249.478 270.98 220.116 -193.918 130.208 6808.01 -6304.5 4104.59
720 297.781 -209.563 272.377 239.42 -158.292 130.332 7431.76 -5121.26 4115.63
730 327.258 -159.385 262.515 252.645 -120.549 128.077 7896.69 -3847.36 4048.48
740 344.729 -104.978 243.22 256.103 -82.443 123.749 8056.62 -2550.56 3914.25
750 342.25 -57.3056 216.398 248.885 -44.6454 115.946 7852.17 -1296.11 3667.8
760 320.073 -24.7427 182.475 232.054 -8.45579 101.484 7310.73 -159.916 3206.35
770 283.518 -5.68642 140.779 206.678 23.7294 77.2908 6494.42 788.18 2426.43
780 238.931 8.41815 90.8299 174.144 49.5271 42.2388 5456.81 1515.36 1289.47
790 184.313 25.4194 33.2889 135.967 67.7802 -2.47877 4238.56 2039.08 -160.253
800 117.448 47.139 -29.3903 94.1921 79.7547 -54.1515 2878.18 2416.71 -1827.09
810 42.6746 68.2263 -93.212 49.5858 88.1842 -109.362 1406.3 2718.97 -3599.62
820 -29.4735 81.9274 -153.9 1.07913 96.1491 -164.362 -168.098 3000.03 -5359.37
830 -89.5913 86.724 -208.229 -52.3195 104.957 -215.152 -1842.53 3279.2 -6979.99
840 -138.968 88.4411 -253.476 -109.347 113.995 -257.842 -3580.83 3545.87 -8336.4
850 -186.962 94.869 -288.681 -165.337 122.166 -289.67 -5287.16 3791.74 -9339.58
860 -240.574 109.2 -314.444 -213.793 129.744 -310.328 -6810.51 4046.63 -9983.03
870 -295.562 130.12 -334.108 -249.421 138.858 -322.218 -7988.53 4371.48 -10346.9
880 -337.487 155.341 -350.578 -270.361 151.284 -328.478 -8710.45 4808.78 -10546
890 -353.552 183.374 -363.395 -277.102 167.054 -331.777 -8941.94 5343.46 -10673.6
900 -344.854 212.897 -370.718 -270.956 184.194 -333.438 -8703.02 5912.89 -10772
